orientation,row,col,pin_num_in_cell,port_name,mapped_pin,GPIO_type,Associated Clock,Clock Edge
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[0],pad_fpga_io[0],in,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[0],pad_fpga_io[0],out,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[1],pad_fpga_io[1],in,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[1],pad_fpga_io[1],out,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[2],pad_fpga_io[2],in,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[2],pad_fpga_io[2],out,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[3],pad_fpga_io[3],in,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[3],pad_fpga_io[3],out,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[4],pad_fpga_io[4],in,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[4],pad_fpga_io[4],out,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[5],pad_fpga_io[5],in,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[5],pad_fpga_io[5],out,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[6],pad_fpga_io[6],in,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[6],pad_fpga_io[6],out,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[7],pad_fpga_io[7],in,,
TOP,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[7],pad_fpga_io[7],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[8],pad_fpga_io[8],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[8],pad_fpga_io[8],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[9],pad_fpga_io[9],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[9],pad_fpga_io[9],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[10],pad_fpga_io[10],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[10],pad_fpga_io[10],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[11],pad_fpga_io[11],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[11],pad_fpga_io[11],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[12],pad_fpga_io[12],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[12],pad_fpga_io[12],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[13],pad_fpga_io[13],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[13],pad_fpga_io[13],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[14],pad_fpga_io[14],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[14],pad_fpga_io[14],out,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[15],pad_fpga_io[15],in,,
RIGHT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[15],pad_fpga_io[15],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[16],pad_fpga_io[16],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[16],pad_fpga_io[16],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[17],pad_fpga_io[17],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[17],pad_fpga_io[17],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[18],pad_fpga_io[18],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[18],pad_fpga_io[18],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[19],pad_fpga_io[19],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[19],pad_fpga_io[19],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[20],pad_fpga_io[20],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[20],pad_fpga_io[20],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[21],pad_fpga_io[21],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[21],pad_fpga_io[21],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[22],pad_fpga_io[22],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[22],pad_fpga_io[22],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[23],pad_fpga_io[23],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[23],pad_fpga_io[23],out,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[24],pad_fpga_io[24],in,,
BOTTOM,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[24],pad_fpga_io[24],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[25],pad_fpga_io[25],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[25],pad_fpga_io[25],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[26],pad_fpga_io[26],in,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_OUT[26],pad_fpga_io[26],out,,
LEFT,,,,gfpga_pad_EMBEDDED_IO_ISOLN_SOC_IN[27],pad_fpga_io[27],in,,
